COORD_X,COORD_Y,PRECIO_OFERTA,PRECIO_INTEGRAL,ESTRATO,UPZ,TIPO_INMUEBLE,BAÑOS,COCINAS,ALCOBAS,UBICACION_LOTE,INFLUENCIA_VIA,AREA,DIST_SALUD,DIST_CAI,DIST_EDU,DIST_VIA
98577.616,113707.198,45000000.000,841121.495,2,10,1,1,1,3,2,2,53.50000002,989.2270911,535.4301474,236.8307451,546.3209416
97926.927,114942.482,55000000.000,282485.876,2,10,1,2,2,7,7,1,194.6999998,1002.962923,342.4510122,107.4837669,799.606844
96735.668,115628.477,34000000.000,527131.783,2,11,0,2,1,3,5,1,64.49999999,1129.769522,1022.588984,334.9206357,1006.266787
96704.268,115736.427,26000000.000,501930.502,2,11,0,2,1,3,5,1,51.79999999,889.2703969,829.1513585,143.5727354,919.4724615
96669.047,115680.335,27000000.000,521235.521,2,11,0,2,1,3,5,1,51.80000002,949.9156087,889.7965703,204.2179471,1044.964563
96779.064,115702.56,27000000.000,521235.521,2,11,0,2,1,3,5,1,51.80000002,966.968884,840.8843602,140.1056632,837.2735183
96548.406,115155.646,24000000.000,477897.252,2,11,0,2,1,3,4,1,50.22000001,1579.585759,1451.677072,308.8324195,1209.80398
96610.953,115142.086,25000000.000,497809.638,2,11,0,2,1,3,4,1,50.21999996,1663.549571,1467.83421,324.989557,1135.375506
97472.414,116678.619,93000000.000,5.00E+05,3,10,1,2,2,6,7,1,186,337.742578,1458.674686,52.94613684,307.6148615
97496.482,116617.431,27000000.000,619266.055,3,10,0,1,1,2,2,1,43.6,423.2608788,1544.192987,32.572164,393.1332333
97498.196,116635.349,35000000.000,629496.403,3,10,0,2,1,3,2,1,55.59999999,405.2653113,1526.197419,14.57659648,375.1376654
97531.595,116675.747,25000000.000,443262.411,3,10,1,2,1,3,7,1,56.40000004,394.036676,1514.968784,120.3741855,363.9089661
98247.636,115191.33,50000000.000,379650.721,2,10,1,1,1,3,2,1,131.7000001,1108.37022,529.0307212,211.3300438,965.5449929
97543.88,116683.641,28000000.000,496453.901,3,10,1,1,1,3,7,1,56.39999997,401.0369096,1521.969018,127.3744191,370.9092217
97584.962,116581.339,32000000.000,312805.474,3,10,1,2,2,4,2,1,102.3,564.3005818,1685.23269,175.6033499,378.8670366
97674.112,116584.827,26000000.000,468468.468,3,10,1,1,1,2,2,1,55.50000006,668.0894862,1789.021594,279.3922543,277.157499
97782.539,116577.618,28000000.000,549019.608,3,10,1,1,1,2,2,1,50.99999999,783.0039923,1837.769203,401.2400183,386.6093833
96417.122,116437.947,40000000.000,842105.263,2,11,1,1,1,2,2,1,47.50000001,781.5972307,376.2508009,306.5792107,956.0036902
97445.125,114713.293,28000000.000,242109.814,2,10,1,2,2,6,8,1,115.65,1127.802583,819.6084626,100.5887988,214.4534344
97362.437,114504.07,21000000.000,343137.255,2,10,1,1,1,3,7,1,61.19999998,1836.524831,1528.330711,916.6540793,695.6815005
97667.076,114668.387,18000000.000,297029.703,2,10,1,1,1,3,2,1,60.59999999,846.7660528,680.1799418,253.3548839,342.5598176
97546.645,114705.842,26000000.000,495238.095,2,10,0,2,1,3,8,1,52.50000003,973.6348509,730.3121602,209.1693296,215.6910421
97585.379,114682.029,36000000.000,685714.286,2,10,0,2,1,3,8,1,52.49999998,941.2912526,697.9685619,158.8296842,319.7408202
98063.166,114867.197,35000000.000,431034.483,2,10,1,2,2,4,2,1,81.19999995,783.4965017,791.2843893,76.40142509,1071.220213
97271.2,116695.371,40000000.000,629921.26,3,10,0,2,1,3,2,1,63.49999998,157.3906174,1278.322726,178.0272162,369.8594276
97291.139,116720.04,36000000.000,419091.967,3,10,1,2,1,5,2,1,85.90000008,131.0851298,1252.017238,151.7217285,343.5539428
97649.515,116709.344,92000000.000,363780.15,3,10,1,3,3,6,2,1,252.9000002,534.4209407,1655.353049,152.6569667,263.9821014
96357.255,116842.4,28000000.000,325203.252,2,11,1,2,2,4,7,1,86.10000001,1103.892471,674.2733447,163.2562033,904.3152298
96381.233,116882.5,28000000.000,325203.252,2,11,1,2,1,4,7,1,86.10000001,1025.098275,685.4049481,240.8312378,825.5209794
96469.968,116832.517,35000000.000,406504.065,2,11,1,2,1,4,7,1,86.10000001,970.1600603,740.382205,304.0994423,770.5828493
96471.527,116838.301,35000000.000,406504.065,2,11,1,2,1,4,7,1,86.10000001,964.1697255,734.3918701,298.1091075,764.5925145
96915.562,116783.189,32000000.000,586295.346,3,10,0,2,1,3,1,1,54.58000003,462.6458949,793.4858148,476.5957199,372.1664728
97010.859,116773.267,31000000.000,567973.617,3,10,0,2,1,3,1,1,54.57999997,261.1700665,994.9616432,426.0659914,536.2390669
97109.321,116961.984,33000000.000,604395.604,3,10,0,2,1,3,1,1,54.60000004,202.1174813,918.8146268,367.0134062,350.1878855
98060.59,114862.337,30000000.000,541516.245,2,10,1,1,1,2,2,1,55.40000005,752.8194188,795.0389669,80.15600268,1040.543085
96930.384,116881.619,32000000.000,586080.586,3,10,0,2,1,3,2,1,54.60000001,373.2002014,747.7319067,376.5909924,272.1617626
97012.114,116875.269,32000000.000,586080.586,3,10,0,2,1,3,2,1,54.60000001,292.0338441,828.898264,456.929769,353.3281502
97246.381,116872.191,34000000.000,648854.962,3,10,0,2,1,3,1,1,52.39999999,155.345914,1276.278022,143.3887119,280.3657444
97265.944,116793.495,24000000.000,502092.05,3,10,0,1,1,2,2,1,47.80000002,95.62180614,1216.553914,116.0608381,324.3628584
95905.237,116380.921,52000000.000,294784.58,2,11,1,2,2,6,2,1,176.4000003,708.1200092,1046.277982,97.36088136,1626.030979
95910.471,116329.982,45000000.000,317796.61,2,11,1,2,2,6,2,1,141.6000001,635.5033203,1031.250411,141.8714172,1611.003251
95940.707,116361.232,45000000.000,228658.537,2,11,1,2,2,6,2,1,196.7999996,648.6567099,999.6639871,155.0248068,1579.416914
96036.014,116317.703,34000000.000,451527.224,2,11,1,2,2,4,2,1,75.30000007,563.2019947,920.8093116,36.05268488,1500.562301
96095.533,116336.545,30000000.000,512820.513,2,11,1,2,2,4,2,1,58.49999998,569.4735262,861.3781183,26.73591324,1441.131033
95873.886,116076.485,29000000.000,439393.939,2,11,1,1,1,3,2,1,66.00000006,679.5056706,1101.182604,104.5040707,1680.935522
98096.612,115054.181,26000000.000,559139.785,2,10,1,1,1,2,7,1,46.5,1010.955023,524.0308902,204.4935943,960.5449531
95891.047,116134.682,65000000.000,250771.605,2,11,1,3,3,10,2,1,259.1999999,633.4766698,1055.153603,95.78143168,1634.906456
96095.537,116193.591,45000000.000,471204.188,2,11,1,2,2,4,2,2,95.5000001,384.0460102,779.7931013,135.6027582,1359.545884
95750.516,116146.597,20000000.000,266311.585,2,11,1,2,1,4,2,1,75.09999987,811.2877798,1232.964713,157.2146995,1812.717554
95718.768,116204.759,48000000.000,401002.506,2,11,1,2,2,6,2,1,119.7000001,840.0719671,1261.7489,203.1755754,1841.501797
95807.313,116174.181,40000000.000,405268.49,2,11,1,2,1,4,2,1,98.70000009,748.0663517,1169.743285,111.16996,1749.496166
95823.827,116196.791,54000000.000,738714.09,2,11,1,2,1,3,2,1,73.10000003,716.0760141,1137.752947,147.0081794,1717.505877
96311.882,116380.577,28000000.000,608695.652,2,11,0,1,1,2,1,1,46.00000001,1083.900354,653.6197518,430.2295788,1233.372693
97677.586,114306.327,71200000.000,422050.978,2,10,1,1,1,4,2,1,168.7,834.1690833,993.7743005,440.0710359,168.8217643
96213.55,116979.454,30000000.000,598802.395,3,11,0,2,1,3,5,1,50.10000002,1207.834834,896.7217921,158.5442481,1008.257603
96283.05,116992.022,35000000.000,563607.085,3,11,0,2,1,3,5,1,62.10000004,1152.14745,841.0344081,116.4324904,952.5696523
98145.295,115060.978,35000000.000,553797.468,2,10,1,2,2,4,2,1,63.20000004,994.510046,533.3245387,144.0622305,969.8386937
96226.07,117033.693,28000000.000,449438.202,3,11,0,2,1,3,5,1,62.30000003,1144.706962,1043.336234,192.4240121,942.9671329
96352.227,116976.146,34000000.000,606060.606,3,11,0,2,1,3,5,1,56.10000001,1070.861125,761.810449,188.6148909,871.2838854
96397.253,116935.136,35000000.000,562700.965,3,11,0,2,1,3,5,1,62.19999996,1018.165682,709.1150061,241.3103338,818.5884647
96418.805,116992.683,34500000.000,711340.206,3,11,0,1,1,2,5,1,48.50000001,896.7268606,846.4584582,126.7936539,697.1495838
97160.053,117296.678,32000000.000,623903.295,3,9,0,2,1,3,1,1,51.29,777.7316268,1165.641992,420.4186147,244.2871353
97208.122,117275.643,31000000.000,604406.317,3,9,0,2,1,3,1,1,51.29,829.5929071,1217.503272,368.5573344,296.148303
97552.126,117667.557,35000000.000,484094.053,2,9,1,2,2,3,2,1,72.29999993,1328.597507,1848.441386,123.331624,853.7332431
96995.524,118052.611,35000000.000,712830.957,3,11,0,1,1,2,2,1,49.10000002,1569.759851,1957.670216,437.4804466,1036.315271
96926.5,118073.094,28000000.000,560000,3,11,0,2,1,3,2,1,50,1629.985656,2017.896021,497.7062516,1096.541107
96542.317,117088.549,33000000.000,672097.76,3,11,0,1,1,2,2,1,49.09999998,863.8712159,922.4640926,114.080022,545.6746868
99156.191,116175.763,70000000.000,801832.761,4,9,0,2,1,3,1,1,87.29999996,283.5593308,211.0235579,66.35116825,792.8596481
96619.971,117054.263,35000000.000,682261.209,3,11,0,2,1,3,2,1,51.29999997,783.2326851,841.8255618,72.38487694,461.8147765
96531.247,117044.736,45000000.000,709779.18,3,11,1,1,1,3,2,1,63.39999998,834.1163338,892.7092105,84.32513996,578.6462028
96543.971,117152.254,36000000.000,759493.671,3,11,0,1,1,2,1,1,47.39999999,910.272152,959.6883359,160.7005547,513.6539136
96626.498,117197.073,42000000.000,886075.949,3,11,0,1,1,2,7,1,47.40000002,1260.097279,1220.354103,473.1080593,873.5035532
96304.842,117146.938,33000000.000,684647.303,3,11,0,1,1,2,2,1,48.19999999,1168.053377,1117.784975,373.4459705,785.4576172
96320.35,117155.144,34000000.000,705394.191,3,11,0,1,1,2,2,1,48.19999999,1121.829562,1082.086385,317.0351391,735.2358894
97176.78,117227.297,24330000.000,617512.69,3,9,0,1,1,2,2,1,39.40000002,815.7544029,1203.664768,392.7855896,282.3098913
97217.536,117183.129,25000000.000,560538.117,3,9,0,1,1,2,2,1,44.59999997,781.370944,1322.737733,278.4417161,306.5066011
97204.798,117096.924,23000000.000,583756.345,3,9,0,1,1,2,7,1,39.40000001,780.7742272,1370.675523,277.8449993,305.9097997
97227.046,117078.477,25000000.000,560538.117,3,9,0,1,1,2,2,1,44.59999997,616.9842821,1206.885578,160.7504194,142.1198904
99115.385,116185.944,90000000.000,743801.653,4,9,0,2,1,3,5,1,121,285.8393854,208.7435033,68.63122283,790.5796057
97201.422,117311.759,33000000.000,643400.273,3,9,0,2,1,3,1,1,51.29,806.8285066,1194.738872,391.321735,273.3838625
97243.537,117327.237,28000000.000,594101.422,3,9,0,1,1,2,1,1,47.12999997,849.0385393,1236.948905,394.3652193,315.5940652
97191.944,117359.843,32000000.000,623903.295,3,9,0,2,1,3,1,1,51.29,845.4914822,1233.401847,397.9122764,312.0469835
96533.363,116603.236,31000000.000,560173.473,2,11,0,2,1,3,5,1,55.34000001,845.1852537,367.3083936,165.2673539,828.4416189
96567.351,116565.665,34000000.000,624426.079,2,11,0,2,1,3,5,1,54.45,720.4973764,242.6205162,229.5159862,822.373349
96310.327,116795.693,35000000.000,406504.065,2,11,1,2,1,4,7,1,86.10000001,1268.091214,798.5765004,163.1205268,1068.513983
96761.485,116883.752,32000000.000,796019.9,3,11,0,1,1,2,2,1,40.20000003,532.5743039,808.5671773,217.21689,332.9970639
97957.748,117613.455,31000000.000,691964.286,2,9,1,1,1,3,1,1,44.79999998,1274.59503,1696.172078,164.6162627,645.0511295
97948.714,117597.882,25000000.000,462962.963,2,9,1,1,1,3,2,1,54,1292.514367,1714.091415,196.1402738,662.9704416
97923.985,117706.869,38000000.000,385395.538,2,9,1,2,1,6,1,1,98.59999988,1300.337609,1721.914656,100.5947658,670.7937211
98887.318,116021.296,50000000.000,432525.952,3,9,1,2,2,6,2,1,115.5999999,716.6850265,375.2979738,295.3721758,374.3536019
97960.072,117744.081,30000000.000,429799.427,2,9,1,1,1,3,2,1,69.79999999,1350.886424,1772.463471,151.1435808,721.3425564
97974.254,117720.396,38000000.000,473225.405,2,9,1,1,1,5,2,1,80.29999995,1312.193407,1733.770455,23.77206444,682.6496
96921.222,117931.725,29000000.000,590631.365,3,11,0,1,1,2,2,1,49.09999996,1493.952748,1881.863114,361.673344,960.5081904
