ID_1	COORD_X	COORD_Y	AÑO	PRECIO_OFERTA	PRECIO_INTEGRAL	PERIODO	ESTRATO	BARRIO	UPZ	TIPO_INMUEBLE	BAÑOS	COCINAS	ALCOBAS	UBICACIÓN_LOTE	INFLUENCIA_VIA	ELEVACION_MSNM	TOPOGRAFIA	DENS_POBL	AREA	DIST_CULT	DIST_SUPERM	DIST_HUMEDAL	DIST_SALUD	DIST_COMERCIAL	DIST_RIO	DIST_TRANSMILENIO	DIST_CLUB	DIST_CAI	DIST_EDU	DIST_VIA	DIST_PARQUE
1	98577,616	113707,198	2005	4,5e+07	841121,495	4	2	35	10	1	1	1	3	2	2	2550	1	376,22	53,5000000208056	2871,25491793983	3048,53640302261	2784,58247831395	989,227091060746	2417,25137128832	735,385698846075	2513,1424578997	2585,83924948498	535,430147350238	236,830745092011	546,320941595275	134,561070267529
10	97926,927	114942,482	2005	5,5e+07	282485,876	2	2	9	10	1	2	2	7	7	1	2555	1	376,22	194,699999797512	2455,7859160719	2320,1151083259	1700,60113626351	1002,96292345134	1546,23501030017	1077,55863070911	4290,86012478305	4219,52618208394	342,451012155523	107,48376686211	799,606843988027	41,7268890527055
100	96735,668	115628,477	2005	3,4e+07	527131,783	3	2	65	11	0	2	1	3	5	1	2554	1	262,03	64,4999999933603	3339,85547001731	3204,18466227131	969,5939419989	1129,76952166025	383,588385642003	874,212630560406	5132,37680360472	5145,7061515128	1022,58898362484	334,920635722525	1006,26678658989	67,7969863105559
101	96704,268	115736,427	2005	2,6e+07	501930,502	3	2	65	11	0	2	1	3	5	1	2551	1	262,03	51,7999999928277	3253,06119790271	3117,39039015671	1191,72226765436	889,270396915066	630,142188413771	885,5994988551	5303,51053173865	5058,91182643479	829,151358512437	143,572735350906	919,472461511879	101,856122600795
102	96669,047	115680,335	2005	2,7e+07	521235,521	3	2	65	11	0	2	1	3	5	1	2551	1	262,03	51,8000000234059	3378,55326551081	3242,88245776481	1066,23020004626	949,915608664797	531,368755659834	830,872399989254	5298,62038220431	5184,40392809436	889,796570262167	204,217947100636	1044,96456317145	37,7454396606988
103	96779,064	115702,56	2005	2,7e+07	521235,521	3	2	65	11	0	2	1	3	5	1	2555	1	262,03	51,8000000234059	3170,86226457073	3035,19145682473	1133,94881143869	966,968883985109	547,943255081793	941,324111377426	5221,31158852907	4976,7128832252	840,88436017294	140,105663222208	837,273518302293	87,403292717187
104	96548,406	115155,646	2005	2,4e+07	477897,252	3	2	65	11	0	2	1	3	4	1	2551	1	262,03	50,2200000095418	3687,56174641417	3551,89093866817	513,107200506377	1579,58575922866	189,876538922514	430,8630524271	4950,58298838403	5399,76044695089	1451,67707225678	308,832419463191	1209,80398025815	109,732286406297
105	96610,953	115142,086	2005	2,5e+07	497809,638	3	2	65	11	0	2	1	3	4	1	2551	1	262,03	50,2199999591008	3613,13330899219	3477,46250124619	386,981597865547	1663,54957141925	206,033676431431	440,051905160972	4876,15451427088	5325,33197283774	1467,83420976569	324,989556972108	1135,37550614501	72,1041376370378
106	97472,414	116678,619	2005	9,3e+07	5e+05	3	3	56	10	1	2	2	6	7	1	2555	1	376,22	186	2329,40729180957	2198,16239430701	2183,49031906698	337,742577956267	924,984872098726	2048,76313929767	5997,53233523245	4510,89299186567	1458,67468609098	52,9461368359341	307,614861505881	55,8717298895117
107	97496,482	116617,431	2005	2,7e+07	619266,055	3	3	56	10	0	1	1	2	2	1	2555	1	376,22	43,6000000032296	2243,88899097125	2112,64409346869	2217,19745238281	423,260878794591	839,466571260402	2028,94741442555	5912,01396339216	4425,37462002538	1544,1929869293	32,5721640023899	393,133233346167	78,6298214725834
